session_id,user_id,session_approved,session_deleted,session_created,session_duration_mins,upload_from_phone,user_status,subscription_start,subscription_end
1,1,1,0,20-May-22,60,0,Active,23-Jul-22,23-Apr-23
2,1,0,0,20-May-22,1,0,Active,23-Jul-22,23-Apr-23
3,1,1,0,20-May-22,60,0,Active,23-Jul-22,23-Apr-23
4,1,1,0,20-May-22,60,0,Active,23-Jul-22,23-Apr-23
5,1,1,0,23-May-22,60,0,Active,23-Jul-22,23-Apr-23
6,1,1,0,23-May-22,60,0,Active,23-Jul-22,23-Apr-23
7,1,1,0,23-May-22,60,0,Active,23-Jul-22,23-Apr-23
8,1,1,0,23-May-22,60,0,Active,23-Jul-22,23-Apr-23
9,1,1,0,23-May-22,60,0,Active,23-Jul-22,23-Apr-23
10,1,1,0,23-May-22,60,0,Active,23-Jul-22,23-Apr-23
11,1,1,0,24-May-22,60,0,Active,23-Jul-22,23-Apr-23
12,1,1,0,24-May-22,60,0,Active,23-Jul-22,23-Apr-23
13,1,1,0,24-May-22,60,0,Active,23-Jul-22,23-Apr-23
14,1,1,0,24-May-22,60,0,Active,23-Jul-22,23-Apr-23
15,1,1,0,24-May-22,60,0,Active,23-Jul-22,23-Apr-23
16,1,1,0,25-May-22,60,0,Active,23-Jul-22,23-Apr-23
17,1,1,0,25-May-22,60,0,Active,23-Jul-22,23-Apr-23
18,1,1,0,25-May-22,60,0,Active,23-Jul-22,23-Apr-23
19,1,1,0,25-May-22,60,0,Active,23-Jul-22,23-Apr-23
20,1,1,0,25-May-22,60,0,Active,23-Jul-22,23-Apr-23
21,1,1,0,25-May-22,60,0,Active,23-Jul-22,23-Apr-23
22,1,1,0,26-May-22,60,0,Active,23-Jul-22,23-Apr-23
23,1,1,0,26-May-22,60,0,Active,23-Jul-22,23-Apr-23
24,1,1,0,26-May-22,60,0,Active,23-Jul-22,23-Apr-23
25,1,1,0,26-May-22,60,0,Active,23-Jul-22,23-Apr-23
26,1,1,0,27-May-22,60,0,Active,23-Jul-22,23-Apr-23
27,1,1,0,27-May-22,60,0,Active,23-Jul-22,23-Apr-23
28,1,1,0,27-May-22,60,0,Active,23-Jul-22,23-Apr-23
29,1,1,0,27-May-22,60,0,Active,23-Jul-22,23-Apr-23
30,1,1,0,27-May-22,60,0,Active,23-Jul-22,23-Apr-23
31,1,1,0,30-May-22,60,0,Active,23-Jul-22,23-Apr-23
32,1,0,0,30-May-22,60,0,Active,23-Jul-22,23-Apr-23
33,1,1,0,30-May-22,60,0,Active,23-Jul-22,23-Apr-23
34,1,1,0,30-May-22,60,0,Active,23-Jul-22,23-Apr-23
35,1,1,0,31-May-22,60,0,Active,23-Jul-22,23-Apr-23
36,1,1,0,31-May-22,60,0,Active,23-Jul-22,23-Apr-23
37,1,1,0,31-May-22,60,0,Active,23-Jul-22,23-Apr-23
38,1,1,0,31-May-22,60,0,Active,23-Jul-22,23-Apr-23
39,1,1,0,31-May-22,60,0,Active,23-Jul-22,23-Apr-23
40,1,1,0,31-May-22,60,0,Active,23-Jul-22,23-Apr-23
41,1,1,0,01-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
42,1,1,0,01-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
43,1,1,0,01-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
44,1,1,0,01-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
45,1,1,0,02-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
46,1,1,0,02-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
47,1,1,0,03-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
48,1,1,0,03-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
49,1,1,0,06-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
50,1,1,0,06-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
51,1,1,0,06-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
52,1,1,0,06-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
53,1,1,0,06-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
54,1,1,0,06-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
55,1,1,0,07-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
56,1,1,0,07-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
57,1,1,0,07-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
58,1,1,0,07-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
59,1,1,0,07-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
60,1,1,0,07-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
61,1,1,0,08-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
62,1,1,0,08-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
63,1,1,0,08-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
64,1,1,0,09-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
65,1,1,0,09-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
66,1,1,0,09-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
67,1,1,0,09-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
68,1,1,0,10-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
69,1,1,0,10-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
70,1,1,0,10-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
71,1,1,0,10-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
72,1,1,0,10-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
73,1,1,0,10-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
74,1,1,0,13-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
75,1,1,0,13-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
76,1,1,0,13-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
77,1,1,0,13-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
78,1,1,0,13-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
79,1,1,0,13-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
80,1,1,0,14-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
81,1,1,0,14-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
82,1,1,0,14-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
83,1,1,0,14-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
84,1,1,0,15-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
85,1,1,0,15-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
86,1,1,0,15-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
87,1,1,0,15-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
88,1,1,0,16-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
89,1,1,0,16-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
90,1,1,0,16-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
91,1,1,0,17-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
92,1,1,0,17-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
93,1,1,0,20-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
94,1,1,0,20-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
95,1,1,0,20-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
96,1,1,0,20-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
97,1,1,0,20-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
98,1,1,0,21-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
99,1,1,0,21-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
100,1,1,0,21-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
101,1,1,0,21-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
102,1,1,0,21-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
103,1,1,0,22-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
104,1,1,0,22-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
105,1,1,0,22-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
106,1,1,0,22-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
107,1,1,0,22-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
108,1,1,0,23-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
109,1,1,0,23-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
110,1,1,0,23-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
111,1,1,0,23-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
112,1,1,0,24-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
113,1,1,0,24-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
114,1,1,0,24-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
115,1,1,0,24-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
116,1,1,0,24-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
117,1,1,0,24-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
118,1,1,0,27-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
119,1,1,0,27-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
120,1,1,0,27-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
121,1,1,0,28-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
122,1,1,0,28-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
123,1,1,0,28-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
124,1,1,0,29-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
125,1,1,0,29-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
126,1,1,0,29-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
127,1,1,0,29-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
128,1,1,0,29-Jun-22,60,0,Active,23-Jul-22,23-Apr-23
129,4,0,0,29-Jun-22,0,0,Active,10-Feb-23,10-Apr-23
130,4,1,1,29-Jun-22,60,0,Active,10-Feb-23,10-Apr-23
131,1,1,0,01-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
132,1,1,0,01-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
133,1,1,0,01-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
134,1,1,0,01-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
135,5,1,0,02-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
136,5,0,0,02-Jul-22,0,0,Active,07-Aug-22,07-Apr-23
137,1,1,0,04-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
138,1,1,0,04-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
139,1,1,0,04-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
140,1,1,0,04-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
141,1,1,0,04-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
142,1,1,0,05-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
143,1,1,0,05-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
144,1,1,0,05-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
145,1,1,0,05-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
146,1,1,0,05-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
147,1,1,0,06-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
148,1,1,0,06-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
149,1,1,0,06-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
150,1,1,0,06-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
151,5,1,0,06-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
152,5,1,0,06-Jul-22,60.7232,0,Active,07-Aug-22,07-Apr-23
153,5,0,0,06-Jul-22,0,0,Active,07-Aug-22,07-Apr-23
154,1,1,0,07-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
155,1,1,0,07-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
156,1,1,0,07-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
157,1,1,0,07-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
158,1,1,0,08-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
159,1,1,0,08-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
160,1,1,0,08-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
161,1,1,0,08-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
162,1,1,0,08-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
163,1,1,0,11-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
164,1,1,0,11-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
165,1,1,0,11-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
166,1,1,0,11-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
167,5,0,0,11-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
168,5,0,0,11-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
169,5,1,0,11-Jul-22,62.5242,0,Active,07-Aug-22,07-Apr-23
170,6,0,0,11-Jul-22,60,0,Churned,02-Sep-22,02-Feb-23
171,1,1,0,12-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
172,1,1,0,12-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
173,1,1,0,12-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
174,5,1,0,12-Jul-22,58.6035,0,Active,07-Aug-22,07-Apr-23
175,5,1,0,12-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
176,5,1,1,12-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
177,5,1,0,12-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
178,5,1,1,12-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
179,5,1,0,12-Jul-22,66.5505,0,Active,07-Aug-22,07-Apr-23
180,5,1,0,12-Jul-22,58.5542,0,Active,07-Aug-22,07-Apr-23
181,5,1,0,12-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
182,5,1,0,12-Jul-22,55.869,0,Active,07-Aug-22,07-Apr-23
183,6,1,0,12-Jul-22,60,0,Churned,02-Sep-22,02-Feb-23
184,1,1,0,13-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
185,1,1,0,13-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
186,5,1,0,13-Jul-22,67.3027,0,Active,07-Aug-22,07-Apr-23
187,5,1,0,13-Jul-22,61.6952,0,Active,07-Aug-22,07-Apr-23
188,5,1,0,13-Jul-22,59.1273,0,Active,07-Aug-22,07-Apr-23
189,5,1,1,13-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
190,1,1,0,14-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
191,1,1,0,14-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
192,1,1,0,14-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
193,6,1,0,14-Jul-22,60,0,Churned,02-Sep-22,02-Feb-23
194,1,1,0,15-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
195,1,1,0,15-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
196,1,1,0,15-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
197,5,1,0,15-Jul-22,61.402,0,Active,07-Aug-22,07-Apr-23
198,1,1,0,18-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
199,1,1,0,18-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
200,1,1,0,18-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
201,1,1,0,18-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
202,1,1,0,18-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
203,5,1,0,18-Jul-22,52.2318,0,Active,07-Aug-22,07-Apr-23
204,5,1,0,18-Jul-22,61.7822,0,Active,07-Aug-22,07-Apr-23
205,5,1,0,18-Jul-22,51.319,0,Active,07-Aug-22,07-Apr-23
206,1,1,0,19-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
207,1,1,0,19-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
208,1,1,0,19-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
209,1,1,0,19-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
210,1,1,0,19-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
211,5,1,0,19-Jul-22,58.5533,0,Active,07-Aug-22,07-Apr-23
212,5,1,0,19-Jul-22,54.9173,0,Active,07-Aug-22,07-Apr-23
213,6,1,0,19-Jul-22,60,0,Churned,02-Sep-22,02-Feb-23
214,6,1,0,19-Jul-22,60,0,Churned,02-Sep-22,02-Feb-23
215,6,0,0,19-Jul-22,60,0,Churned,02-Sep-22,02-Feb-23
216,6,0,0,19-Jul-22,60,0,Churned,02-Sep-22,02-Feb-23
217,7,1,0,19-Jul-22,60,0,Active,02-Mar-23,02-Mar-24
218,5,1,0,20-Jul-22,57.7108,0,Active,07-Aug-22,07-Apr-23
219,5,1,0,20-Jul-22,56.0628,0,Active,07-Aug-22,07-Apr-23
220,6,0,0,20-Jul-22,60,0,Churned,02-Sep-22,02-Feb-23
221,6,1,0,20-Jul-22,60,0,Churned,02-Sep-22,02-Feb-23
222,7,1,0,20-Jul-22,60,0,Active,02-Mar-23,02-Mar-24
223,5,1,0,21-Jul-22,57.7573,0,Active,07-Aug-22,07-Apr-23
224,5,1,0,21-Jul-22,59.343,0,Active,07-Aug-22,07-Apr-23
225,7,1,0,21-Jul-22,60,0,Active,02-Mar-23,02-Mar-24
226,5,1,0,22-Jul-22,64.2785,0,Active,07-Aug-22,07-Apr-23
227,5,0,0,22-Jul-22,60,0,Active,07-Aug-22,07-Apr-23
228,7,1,0,22-Jul-22,60,0,Active,02-Mar-23,02-Mar-24
229,1,1,0,25-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
230,5,1,0,25-Jul-22,49.263,0,Active,07-Aug-22,07-Apr-23
231,5,1,0,25-Jul-22,61.7815,0,Active,07-Aug-22,07-Apr-23
232,1,1,0,26-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
233,1,1,0,26-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
234,1,1,0,26-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
235,1,1,0,26-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
236,1,1,0,26-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
237,5,1,0,26-Jul-22,63.0192,0,Active,07-Aug-22,07-Apr-23
238,1,1,0,27-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
239,1,1,0,27-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
240,1,1,0,27-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
241,1,1,0,27-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
242,5,1,0,27-Jul-22,62.3443,0,Active,07-Aug-22,07-Apr-23
243,8,1,0,27-Jul-22,60,0,Active,07-Oct-22,07-Apr-23
244,8,1,0,27-Jul-22,60,0,Active,07-Oct-22,07-Apr-23
245,1,1,0,28-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
246,1,1,0,28-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
247,1,1,0,28-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
248,5,1,0,28-Jul-22,51.7147,0,Active,07-Aug-22,07-Apr-23
249,5,1,0,28-Jul-22,57.2727,0,Active,07-Aug-22,07-Apr-23
250,7,1,0,28-Jul-22,60,0,Active,02-Mar-23,02-Mar-24
251,8,1,0,28-Jul-22,60,0,Active,07-Oct-22,07-Apr-23
252,8,1,0,28-Jul-22,60,0,Active,07-Oct-22,07-Apr-23
253,1,1,0,29-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
254,1,1,0,29-Jul-22,60,0,Active,23-Jul-22,23-Apr-23
255,5,1,0,29-Jul-22,58.7615,0,Active,07-Aug-22,07-Apr-23
256,7,1,0,29-Jul-22,60,0,Active,02-Mar-23,02-Mar-24
